,address,type,balance
0,1933phfhK3ZgFQNLGSDXvqCn32k2buXY8a,pubkeyhash,11111100000000
1,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,pubkeyhash,7995704110000
2,1Co6UHJmGHevWEHAPraSPRVkfGgG46EHwe,pubkeyhash,5930000000000
3,1NnqM24fFeAGf7NWxmhhFkQAciPqeWo3L,pubkeyhash,5339055588667
4,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,5300004110000
5,13vJZKHKBirruXwmjMaRtakzPQRRHQit1S,pubkeyhash,5013004110000
6,1DEpjpftLbsGiCJvJDp2F2quVRnymV8U5Q,pubkeyhash,5000004110000
7,1P3S1grZYmcqYDuaEDVDYobJ5Fx85E9fE9,pubkeyhash,5000004110000
8,1BBqjKsYuLEUE9Y5WzdbzCtYzCiQgHqtPN,pubkeyhash,4745804110000
9,1BVA88962SxcymHSfqXSy9F7cgXefi3zgt,pubkeyhash,4451204110000
10,12HddUDLhRP2F8JjpKYeKaDxxt5wUvx5nq,pubkeyhash,4000004110000
11,1cXNTyXj4xPGopfYZNY5xfSM1EPJJvBZV,pubkeyhash,4000004110000
12,16Ls6azc76ixc9Ny7AB5ZPPq6oiEL9XwXy,pubkeyhash,4000004110000
13,1BqcwhKevdBKeos72b8E32Swjrp4iDVnjP,pubkeyhash,4000000000000
14,1FngtAcZsLfK89MNe7TqzyqVtSype8TiVD,pubkeyhash,3805804110000
15,18Hsgq92AUB1PYLU6MUMQXiwdebaDRo9oQ,pubkeyhash,3800004110000
16,19Gt9VKmmyMpMHEv6dkf8ddwmwddoSoJ8w,pubkeyhash,3525450398730
17,1FrtkNXastDoMAaorowys27AKQERxgmZjY,pubkeyhash,3148014804788
18,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,pubkeyhash,3100004110000
19,14f6ZV83eke4DQsqTQsGaNrMNvHmwCm59t,pubkeyhash,3078426899989
20,1MyGwFAJjVtB5rGJa32M6Yh46cGirUta1K,pubkeyhash,3000004110000
21,1E675PVKbzUWAN6bGoMJ4c1TnD5BNkYbe3,pubkeyhash,3000000000000
22,139Vxkqcrs5fB9JvZcBzKuPwqsoVwisykJ,pubkeyhash,2859999380000
23,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,pubkeyhash,2815004110000
24,1Kf33BbrJDuAVC91w9ACtRgf6KJrLWSkHV,pubkeyhash,2616704110000
25,1Hw8dtVC9bdxDz1su9Jx3GXTgjR75FJcMK,pubkeyhash,2600552943680
26,18JPragfuDVHWWG8ABQ15cghJFetnXUjBD,pubkeyhash,2440450460000
27,15iaA8tRFepu4KzXZYypFejsrfJQ9YT47B,pubkeyhash,2423210151781
28,12fZ2HxkLjG9zn1u44XYsFFYKHM4A2zCea,pubkeyhash,2324904110000
29,1BADznNF3W1gi47R65MQs754KB7zTaGuYZ,pubkeyhash,2201304110000
30,16rfUGQTa5WnigGjKqUAz7M8LdroRzMAU2,pubkeyhash,2190104110000
31,1CbR8da9YPZqXJJKm9ze1GYf67eKAUfXwP,pubkeyhash,2000099392400
32,1MbM1WxEX3HZPpnoYVaBN2pd5WbDJoXrgj,pubkeyhash,2000000000000
33,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,pubkeyhash,1940004110000
34,16g2TW2hbFoov3DThSRBdnETaS94bFvq5v,pubkeyhash,1880000976300
35,13DRu4fXZ7gr8pykRVKwwStPUnUvfhMXJS,pubkeyhash,1846392336214
36,1A6GpGtUEstGWE3kfRHLWvQfRkxbcaFP1b,pubkeyhash,1759134111380
37,1QAHVyRzkmD4j1pU5W89htZ3c6D6E7iWDs,pubkeyhash,1620500000000
38,17FXxwQ7v35a3nZgKUw5MzoFdB75rxYDrs,pubkeyhash,1579993490000
39,1Fx3N5iFPDQxUKhhmDJqCMmi3U8Y7gSncx,pubkeyhash,1550134110407
40,1LDWDufjU5ATbozDZY3uChb7oPAbDaiB7K,pubkeyhash,1500000000000
41,1NoDPxUcXwTzYaxNjPjdRKGDicMAcEMn1T,pubkeyhash,1494120023553
42,19tuxqhzgwC6B9hhLHDLJkocx8LaaCS56s,pubkeyhash,1450000000000
43,19ere2oJzJh81A5Q64SExDZYz54RvWHqZz,pubkeyhash,1428687000000
44,1EjRAEjDdA7GiCSUkA9nM4771n86N5t2xZ,pubkeyhash,1423741000000
45,1MZEa1Lx1XEEbgUXcoFfRpPagpcjjtYn5j,pubkeyhash,1400000000000
46,1E1fFRsVTdzUA5eC8ouwoFzygCF9WCPjBi,pubkeyhash,1400000000000
47,1BcCo1dNztEjMtzxFTbtQuZEuK1NkvN8q5,pubkeyhash,1375354000000
48,12tT4cSjRRsncwwv1YUKnbXuouaMfT5DnN,pubkeyhash,1350000000000
49,1NuDiVDgBx2rx3gwoRJRERkPkSLNksubMK,pubkeyhash,1343711638034
50,1KX8EPDcziwbGaC7oDHDuKE9SfLWMmmbZy,pubkeyhash,1305000000000
51,1MHdm5XZMrfoZFoUktEaGhYevmdiXoc4x4,pubkeyhash,1295000000000
52,1B1wPLyrJ831sg1D8hnZLBG7SejXbqMMrH,pubkeyhash,1280000000000
53,1FR8wjotgPmzTx7GmhW3WeXE39rHJbCvLV,pubkeyhash,1200500000000
54,19n1JqKDnoqcc34HA3fdgzNxczic6Hu5Pi,pubkeyhash,1186780000000
55,14wGX3VV2foaDyuy6mc6tvynLAKnHswyoc,pubkeyhash,1185300000000
56,1DgzSGFprGG4CcxdZPHeidSG7TKbgrATYx,pubkeyhash,1180000000000
57,1n31g4rKiEeXnZEZR6VZwm3LggLicEqEC,pubkeyhash,1169853895259
58,1HHj36eihJPXasRhbyVisAvm4as36Jj2sJ,pubkeyhash,1163301463578
59,1GWexYYJtPbNRAKPndLwedtLK1yuDUjUeX,pubkeyhash,1135000000000
60,1D6i4FY4iJ3M54QJ8XyUn3LcWsWR84V8gU,pubkeyhash,1110290000000
61,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,pubkeyhash,1077051520822
62,1FpqQnKQCgDkJFMC94JL8FpRyHTZ3uRVZ1,pubkeyhash,1068903444187
63,1FSGpYLfoRBQjjdqLJoMyiA4nCVHfLokQd,pubkeyhash,1060000000000
64,1aXSyAGJVBki1hHHjm7TfDYNJmqjkckcA,pubkeyhash,1050000000000
65,1AhDocNNTNWFg5oiMtkeu5wUzFu5mrXfN4,pubkeyhash,1042475850000
66,1MHjZDJ6yGwAPAFoT76W3jkunxCagqFrog,pubkeyhash,1040000000000
67,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,pubkeyhash,1000925101000
68,1SKLADuZdfR722o2CBFDps5Dj77XxPuVe,pubkeyhash,1000101010101
69,18k9tin39LKegFzHe8rxSgvJXDpuMriGJq,pubkeyhash,1000000000001
70,1BQg7VnGbZubSXZf7CYtJyzmzrLb89bNCJ,pubkeyhash,1000000000000
71,1Le6MkiTvkorvC1JwYXzQUSfqA3ebzGW7N,pubkeyhash,1000000000000
72,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,pubkeyhash,1000000000000
73,1FQXnW8jDrFSWNvh7HtaEkMyehSfk9PWgN,pubkeyhash,1000000000000
74,12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,pubkeyhash,1000000000000
75,1DJSiWg6Ci6DLmxZFjVNBKn9CcahLFx5gS,pubkeyhash,1000000000000
76,1Du2jAQsBQnkkVZkN4oqC46tS78k7WMkVq,pubkeyhash,1000000000000
77,1JtpgqCf3SSeCeYWEDJjkfYFH7Ruhy4Vp1,pubkeyhash,1000000000000
78,12dUggmXPYsPVHaHr1DoW5J6bb6gvh4yZq,pubkeyhash,1000000000000
79,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,pubkeyhash,1000000000000
80,18Y8RM9TxunRLmw5MMD4mzY8Q9cYdPivm6,pubkeyhash,1000000000000
81,145YHsQU7HMzkRnD5SBSuFAzQgCYnAnLkN,pubkeyhash,1000000000000
82,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,pubkeyhash,1000000000000
83,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,pubkeyhash,1000000000000
84,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,pubkeyhash,1000000000000
85,16TPVCpvtJ6FkV5xNKBp35aMo4BWFGxiEY,pubkeyhash,1000000000000
86,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,pubkeyhash,1000000000000
87,1EyArywoLEhFto6uKWMxA9QKXJWLTNghsz,pubkeyhash,1000000000000
88,1DZ6afvs6W2su55sZpGUHXzrzh6UyE7bmZ,pubkeyhash,992481999112
89,1MwfKa2K29eP88wBYqYZSRrfjn9AnpBxXs,pubkeyhash,985100000000
90,18uGVZ1FL967Zx6s9seTKJCo4eH9LxK4U9,pubkeyhash,976583670000
91,1AKU6fsr5amt3XAvxaYoCPDe8vkhrfk4WU,pubkeyhash,972330400000
92,1oJDbn2aFTv3mvQ9Z1zy6m2ZxZbwXoc7H,pubkeyhash,965977000000
93,1GD8Qh7ebmvdaB8Ampcq8qZqNPr78nzjSP,pubkeyhash,947877000000
94,19os1ymYYgKdciz6RyiF65WQARb3URp1fy,pubkeyhash,942400000000
95,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,pubkeyhash,926000000000
96,1P1RiPAmgQxMvFZ5AbdN9m3K1zfSKgnRpU,pubkeyhash,921028070000
97,1NoTNPjGtQPN3VX2as5vh747MZ6tKmQTeU,pubkeyhash,908143602360
98,167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,pubkeyhash,899900000000
99,1QCC8M4FihHG6PpUwW35cniwxNW4sMY7iQ,pubkeyhash,878801578554
