text,was_in
"Привет ответьте пожалуйста через сколько возможны скидки?
",0
"Здравствуйте ответьте пожалуйста когда возможны скидки?
",0
"Привет подскажите в какое время возможны скидки?
",0
"Ответьте пожалуйста в какое время будут скидки?
",0
"Привет скажите через сколько будут скидки?
",0
"Скажите когда стоит ожидать скидки?
",0
"Подскажите когда будут скидки?
",0
"Ответьте пожалуйста через сколько возможны скидки?
",0
"Ответьте пожалуйста в какое время стоит ожидать скидки?
",0
"Скажите через сколько возможны скидки?
",0
"Здравствуйте скажите когда будут скидки?
",0
"Здравствуйте позвольте узнать через сколько стоит ожидать скидки?
",0
"Позвольте узнать через сколько будут скидки?
",0
"Здравствуйте ответьте пожалуйста через сколько возможны скидки?
",0
"Ответьте пожалуйста когда будут скидки?
",0
"Привет ответьте пожалуйста когда возможны скидки?
",0
"Привет позвольте узнать когда возможны скидки?
",0
"Добрый день ответьте пожалуйста через сколько возможны скидки?
",0
"Добрый день ответьте пожалуйста через сколько будут скидки?
",0
"Привет скажите через сколько возможны скидки?
",0
"Здравствуйте позвольте узнать когда стоит ожидать скидки?
",0
"Добрый день скажите через сколько возможны скидки?
",0
"Добрый день ответьте пожалуйста в какое время стоит ожидать скидки?
",0
"Привет скажите когда будут скидки?
",0
"Здравствуйте позвольте узнать когда возможны скидки?
",0
"Добрый день позвольте узнать когда будут скидки?
",0
"Добрый день подскажите через сколько будут скидки?
",0
"Здравствуйте скажите через сколько возможны скидки?
",0
"Здравствуйте подскажите когда стоит ожидать скидки?
",0
"Добрый день подскажите когда возможны скидки?
",0
"Здравствуйте подскажите когда возможны скидки?
",0
"Привет скажите в какое время возможны скидки?
",0
"Добрый день ответьте пожалуйста в какое время возможны скидки?
",0
"Привет подскажите в какое время будут скидки?
",0
"Скажите в какое время стоит ожидать скидки?
",0
"Добрый день ответьте пожалуйста когда возможны скидки?
",0
"Здравствуйте скажите в какое время будут скидки?
",0
"Здравствуйте позвольте узнать через сколько будут скидки?
",0
"Здравствуйте позвольте узнать в какое время возможны скидки?
",0
"Добрый день позвольте узнать в какое время будут скидки?
",0
"Привет подскажите когда будут скидки?
",0
"Привет подскажите через сколько будут скидки?
",0
"Привет позвольте узнать через сколько стоит ожидать скидки?
",0
"Привет скажите когда возможны скидки?
",0
"Скажите в какое время будут скидки?
",0
"Здравствуйте ответьте пожалуйста когда будут скидки?
",0
"Здравствуйте скажите в какое время стоит ожидать скидки?
",0
"Подскажите в какое время стоит ожидать скидки?
",0
"Привет скажите когда стоит ожидать скидки?
",0
"Здравствуйте скажите через сколько стоит ожидать скидки?
",0
"Добрый день позвольте узнать в какое время возможны скидки?
",0
"Скажите через сколько стоит ожидать скидки?
",0
"Привет позвольте узнать когда стоит ожидать скидки?
",0
"Скажите в какое время возможны скидки?
",0
"Подскажите когда возможны скидки?
",0
"Добрый день подскажите когда стоит ожидать скидки?
",0
"Добрый день подскажите в какое время возможны скидки?
",0
"Здравствуйте подскажите в какое время стоит ожидать скидки?
",0
"Добрый день позвольте узнать когда стоит ожидать скидки?
",0
"Привет позвольте узнать когда будут скидки?
",0
"Привет ответьте пожалуйста через сколько будут скидки?
",0
"Добрый день подскажите в какое время будут скидки?
",0
"Привет позвольте узнать через сколько будут скидки?
",0
"Привет ответьте пожалуйста в какое время стоит ожидать скидки?
",0
"Добрый день ответьте пожалуйста в какое время будут скидки?
",0
"Подскажите через сколько стоит ожидать скидки?
",0
"Добрый день подскажите через сколько стоит ожидать скидки?
",0
"Добрый день ответьте пожалуйста когда стоит ожидать скидки?
",0
"Здравствуйте ответьте пожалуйста когда стоит ожидать скидки?
",0
"Ответьте пожалуйста когда возможны скидки?
",0
"Здравствуйте ответьте пожалуйста в какое время стоит ожидать скидки?
",0
"Привет ответьте пожалуйста когда стоит ожидать скидки?
",0
"Добрый день позвольте узнать в какое время стоит ожидать скидки?
",0
"Привет подскажите в какое время стоит ожидать скидки?
",0
"Здравствуйте позвольте узнать в какое время стоит ожидать скидки?
",0
"Позвольте узнать когда возможны скидки?
",0
"Здравствуйте подскажите через сколько стоит ожидать скидки?
",0
"Привет ответьте пожалуйста когда будут скидки?
",0
"Добрый день ответьте пожалуйста когда будут скидки?
",0
"Добрый день скажите в какое время стоит ожидать скидки?
",0
"Привет подскажите когда возможны скидки?
",0
"Подскажите когда стоит ожидать скидки?
",0
"Подскажите в какое время будут скидки?
",0
"Ответьте пожалуйста в какое время возможны скидки?
",0
"Добрый день позвольте узнать через сколько будут скидки?
",0
"Позвольте узнать в какое время стоит ожидать скидки?
",0
"Ответьте пожалуйста через сколько стоит ожидать скидки?
",0
"Подскажите через сколько будут скидки?
",0
"Привет подскажите через сколько возможны скидки?
",0
"Здравствуйте ответьте пожалуйста через сколько будут скидки?
",0
"Позвольте узнать в какое время возможны скидки?
",0
"Добрый день скажите в какое время возможны скидки?
",0
"Скажите через сколько будут скидки?
",0
"Привет скажите в какое время стоит ожидать скидки?
",0
"Привет позвольте узнать через сколько возможны скидки?
",0
"Добрый день скажите когда стоит ожидать скидки?
",0
"Здравствуйте ответьте пожалуйста в какое время возможны скидки?
",0
"Здравствуйте подскажите когда будут скидки?
",0
"Здравствуйте позвольте узнать в какое время будут скидки?
",0
"Позвольте узнать через сколько возможны скидки?
",0
"Позвольте узнать когда будут скидки?
",0
"Скажите когда будут скидки?
",0
"Добрый день скажите через сколько стоит ожидать скидки?
",0
"Привет подскажите через сколько стоит ожидать скидки?
",0
"Привет ответьте пожалуйста в какое время возможны скидки?
",0
"Здравствуйте позвольте узнать когда будут скидки?
",0
"Привет ответьте пожалуйста в какое время будут скидки?
",0
"Позвольте узнать через сколько стоит ожидать скидки?
",0
"Здравствуйте ответьте пожалуйста в какое время будут скидки?
",0
"Подскажите через сколько возможны скидки?
",0
"Добрый день скажите когда возможны скидки?
",0
"Здравствуйте ответьте пожалуйста через сколько стоит ожидать скидки?
",0
"Привет позвольте узнать в какое время возможны скидки?
",0
"Добрый день скажите через сколько будут скидки?
",0
"Добрый день подскажите через сколько возможны скидки?
",0
"Позвольте узнать когда стоит ожидать скидки?
",0
"Подскажите в какое время возможны скидки?
",0
"Здравствуйте скажите через сколько будут скидки?
",0
"Здравствуйте подскажите в какое время будут скидки?
",0
"Привет ответьте пожалуйста через сколько стоит ожидать скидки?
",0
"Привет позвольте узнать в какое время будут скидки?
",0
"Привет позвольте узнать в какое время стоит ожидать скидки?
",0
"Здравствуйте скажите в какое время возможны скидки?
",0
"Здравствуйте подскажите в какое время возможны скидки?
",0
"Здравствуйте позвольте узнать через сколько возможны скидки?
",0
"Добрый день скажите в какое время будут скидки?
",0
"Добрый день подскажите когда будут скидки?
",0
"Здравствуйте скажите когда возможны скидки?
",0
"Добрый день ответьте пожалуйста через сколько стоит ожидать скидки?
",0
"Позвольте узнать в какое время будут скидки?
",0
"Добрый день позвольте узнать через сколько стоит ожидать скидки?
",0
"Здравствуйте подскажите через сколько возможны скидки?
",0
"Добрый день позвольте узнать когда возможны скидки?
",0
"Здравствуйте скажите когда стоит ожидать скидки?
",0
"Привет скажите в какое время будут скидки?
",0
"Здравствуйте подскажите через сколько будут скидки?
",0
"Ответьте пожалуйста через сколько будут скидки?
",0
"Добрый день скажите когда будут скидки?
",0
"Привет подскажите когда стоит ожидать скидки?
",0
"Добрый день позвольте узнать через сколько возможны скидки?
",0
"Скажите когда возможны скидки?
",0
"Добрый день подскажите в какое время стоит ожидать скидки?
",0
"Ответьте пожалуйста когда стоит ожидать скидки?
",0
"Привет скажите через сколько стоит ожидать скидки?
",0
